"country","state","number"
"Southern Asia","Northern.Territory",10750
"Southern Asia","Capital.Territory",32919
"Central Asia","New.South.Wales",17247
"Central Asia","Victoria",27579
"Central Asia","Queensland",5688
"Central Asia","South.Australia",8964
"Central Asia","Western..Australia",6414
"Central Asia","Tasmania",327
"Central Asia","Northern.Territory",53
"Central Asia","Capital.Territory",881
"Northern America","New.South.Wales",50230
"Northern America","Victoria",34507
"Northern America","Queensland",33306
"Northern America","South.Australia",7878
"Northern America","Western..Australia",16743
"Northern America","Tasmania",3098
"Northern America","Northern.Territory",1553
"Northern America","Capital.Territory",4772
"South America","New.South.Wales",71733
"South America","Victoria",35029
"South America","Queensland",31188
"South America","South.Australia",6390
"South America","Western..Australia",12710
"South America","Tasmania",1407
"South America","Northern.Territory",671
"South America","Capital.Territory",2929
"Central America","New.South.Wales",5530
"Central America","Victoria",5858
"Central America","Queensland",4157
"Central America","South.Australia",1357
"Central America","Western..Australia",1912
"Central America","Tasmania",279
"Central America","Northern.Territory",62
"Central America","Capital.Territory",506
"Caribbean","New.South.Wales",1629
"Caribbean","Victoria",1063
"Caribbean","Queensland",1558
"Caribbean","South.Australia",253
"Caribbean","Western..Australia",1020
"Caribbean","Tasmania",83
"Caribbean","Northern.Territory",47
"Caribbean","Capital.Territory",97
"Central and West Africa","New.South.Wales",11229
"Central and West Africa","Victoria",8049
"Central and West Africa","Queensland",7299
"Central and West Africa","South.Australia",3591
"Central and West Africa","Western..Australia",5334
"Central and West Africa","Tasmania",593
"Central and West Africa","Northern.Territory",655
"Central and West Africa","Capital.Territory",1227
"Southern and East Africa","New.South.Wales",75180
"Southern and East Africa","Victoria",75199
"Southern and East Africa","Queensland",76207
"Southern and East Africa","South.Australia",16241
"Southern and East Africa","Western..Australia",80413
"Southern and East Africa","Tasmania",3693
"Southern and East Africa","Northern.Territory",2485
"Southern and East Africa","Capital.Territory",4678
